,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters
773,The Big Sleep,tt0038355,http://www.imdb.com/title/tt0038355/,,,,31 August 1946,,The Big Sleep (Philip Marlowe #1),"[Philip Marlowe, Carmen Sternwood]","[Mystery, Fiction, Mystery, Crime, Classics, Mystery, Noir, Mystery, Detective]",3519.0,211.0,231 pages,"[30443, 31988, 15739, 3656, 1378]",4.04,1939,0.0,2.0
774,The Black Cauldron,tt0088814,http://www.imdb.com/title/tt0088814/,44000000,21288692,4180110.0,,"
Newbery Honor (1966)
",The Black Cauldron (The Chronicles of Prydain #2),"[Taran, Fflewddur Fflam, Princess Eilonwy, Gurgi]","[Fantasy, Young Adult, Fiction, Childrens, Adventure]",1082.0,69.0,182 pages,"[20011, 18686, 9221, 1277, 537]",4.13,August 5th 1965,1.0,4.0
775,The Black Dahlia,tt0387877,http://www.imdb.com/title/tt0387877/,50000000,22518325,10005895.0,15 September 2006,,The Black Dahlia (L.A. Quartet #1),[],"[Mystery, Mystery, Crime, Fiction, Mystery, Noir, Historical Fiction, Thriller, Crime, True Crime]",1794.0,89.0,348 pages,"[16138, 21888, 16652, 4800, 1891]",3.74,1987,0.0,0.0
776,The Black Stallion,tt0078872,http://www.imdb.com/title/tt0078872/,2700000,37799643,,17 October 1979,"
Pacific Northwest Library Association Young Reader's Choice Award (1944)
",The Black Stallion (The Black Stallion #1),[],"[Classics, Fiction, Childrens, Animals, Horses, Young Adult, Animals]",905.0,54.0,275 pages,"[27644, 19569, 11680, 1781, 482]",4.18,,1.0,0.0
777,The Blind Assassin,tt0272507,http://www.imdb.com/title/tt0272507/,,,,,"
Man Booker Prize (2000), International IMPAC Dublin Literary Award Nominee (2002), Orange Prize Nominee for Fiction Shortlist (2001), Hammett Prize (2000), Puddly Award for New Novel (2001)
",The Blind Assassin,"[Iris Chase, Laura Chase, Alex Thomas, Richard Griffen]","[Fiction, Historical Fiction, Mystery, Cultural, Canada, Contemporary, Literature, Literary Fiction, Classics, Science Fiction, Novels]",5490.0,94.0,637 pages,"[34474, 40109, 22283, 5898, 2232]",3.94,2000,5.0,4.0
778,The Blind Side,tt0878804,http://www.imdb.com/title/tt0878804/,29000000,255959475,34119372.0,20 November 2009,"
ALA Alex Award (2007), Iowa High School Book Award Nominee (2011)
",The Blind Side,[],"[Sports and Games, Sports, Nonfiction, Biography, Football, Adult, Autobiography, Memoir, Media Tie In, Movies, Business, Biography Memoir, Economics]",3190.0,34.0,352 pages,"[26397, 21139, 9540, 2001, 1099]",4.16,2006,2.0,0.0
779,The Body,tt1937149,http://www.imdb.com/title/tt1937149/,,,,,,The Body,[],"[Short Stories, Fiction, Horror, Mystery, Classics]",651.0,33.0,80 pages,"[11029, 8405, 3527, 547, 114]",4.26,1982,0.0,0.0
780,The Body in the Library,tt0088833,http://www.imdb.com/title/tt0088833/,,,,,,The Body in the Library (Miss Marple #3),"[Inspector Slack, Jane Marple]","[Mystery, Fiction, Mystery, Crime, Classics, Mystery, Detective]",1526.0,199.0,191 pages,"[9493, 15069, 11280, 1753, 275]",3.84,February 1942,0.0,2.0
781,The Bone Collector,tt0145681,http://www.imdb.com/title/tt0145681/,73000000,66488090,16712020.0,5 November 1999,"
Nero Award (1999)
",The Bone Collector (Lincoln Rhyme #1),"[Lincoln Rhyme, Amelia Sachs]","[Mystery, Thriller, Mystery, Crime, Fiction, Thriller, Mystery Thriller, Suspense]",1640.0,102.0,427 pages,"[48536, 44711, 19427, 2922, 1064]",4.17,1997,1.0,2.0
782,The Bonfire of the Vanities,tt0099165,http://www.imdb.com/title/tt0099165/,47000000,15691192,4216063.0,21 December 1990,"
Ambassador Book Award for Fiction (1988), National Book Critics Circle Award Nominee (1987)
",The Bonfire of the Vanities,"[Sherman McCoy, Peter Fallow, Jimmy Caughey, Huck Thigg, Alex Britt-Withers, Asher Herzfeld, Gil Archer, Baron Hochswald, Linwood Talley, Brian Highridge, Nick Stopping, Mike Bellavita, Lewis Sanderson, Ferdinand Arguello, Warren Bottomley, Bernard Levy, Annie Lamb, Greg Rosenwald, Guliaggi, Red Pitt, Gloria Dawson, Eugene Lopwitz, Caroline Heftshank, John Campbell McCoy, St. John Thomas, Kate di Ducci, Miss Lyons, Arthur Ruskin, Irv Stone]","[Fiction, Classics, Literature, Contemporary, Novels, New York, Literature, American, Literary Fiction, Humor, Literature, 20th Century]",2016.0,82.0,690 pages,"[14485, 20475, 13130, 3874, 1371]",3.8,1987,2.0,29.0
