Breakfast at Tiffany's	tt0054698	http://www.imdb.com/title/tt0054698/business	2500000	8000000		5 October 1961
Alice in Wonderland	tt1014759	http://www.imdb.com/title/tt1014759/business	200000000	334185206	116101023	5 March 2010
Practical Magic	tt0120791	http://www.imdb.com/title/tt0120791/business	48000000	46732881	13104694	16 October 1998
The Thorn Birds	tt0085101	http://www.imdb.com/title/tt0085101/business				
The Island of Dr. Moreau	tt0116654	http://www.imdb.com/title/tt0116654/business	40000000	27663982	9101987	23 August 1996
Mystic River	tt0327056	http://www.imdb.com/title/tt0327056/business	25000000	90135191	640815	15 October 2003
The Reader	tt0976051	http://www.imdb.com/title/tt0976051/business	32000000	34194407	2380376	30 January 2009
Brave New World	tt0145600	http://www.imdb.com/title/tt0145600/business				
The Bone Collector	tt0145681	http://www.imdb.com/title/tt0145681/business	73000000	66488090	16712020	5 November 1999
The Amityville Horror	tt0384806	http://www.imdb.com/title/tt0384806/business	19000000	65233369	23507007	15 April 2005
Contact	tt0118884	http://www.imdb.com/title/tt0118884/business	90000000	100853835	20584908	11 July 1997
The Thief Lord	tt0430674	http://www.imdb.com/title/tt0430674/business				
The Maze Runner	tt1790864	http://www.imdb.com/title/tt1790864/business	34000000	102413606		19 September 2014
The Pillars of the Earth	tt1453159	http://www.imdb.com/title/tt1453159/business	40000000			
Watchers	tt0096425	http://www.imdb.com/title/tt0096425/business		940173		2 December 1988
The Ruins	tt0963794	http://www.imdb.com/title/tt0963794/business	8000000	17432844	8003241	4 April 2008
Northanger Abbey	tt0844794	http://www.imdb.com/title/tt0844794/business				
Vampire Academy	tt1686821	http://www.imdb.com/title/tt1686821/business	30000000	7791146	4101000	7 February 2014
Othello	tt0114057	http://www.imdb.com/title/tt0114057/business	11000000	2112951		19 January 1996
Journey to the Center of the Earth	tt0373051	http://www.imdb.com/title/tt0373051/business	45000000	101702060	21018141	11 July 2008
Shutter Island	tt1130884	http://www.imdb.com/title/tt1130884/business	80000000	128012934	41062440	19 February 2010
Dolores Claiborne	tt0109642	http://www.imdb.com/title/tt0109642/business		24361867	5721920	24 March 1995
Shopgirl	tt0338427	http://www.imdb.com/title/tt0338427/business		10281585	229685	4 November 2005
The Hotel New Hampshire	tt0087428	http://www.imdb.com/title/tt0087428/business	7500000	5068118	1075800	9 March 1984
The Fountainhead	tt0041386	http://www.imdb.com/title/tt0041386/business				2 July 1949
Blindness	tt0861689	http://www.imdb.com/title/tt0861689/business	25000000	3073392		3 October 2008
The Bourne Ultimatum	tt0440963	http://www.imdb.com/title/tt0440963/business	110000000	227471070	69283690	3 August 2007
Anna Karenina	tt1781769	http://www.imdb.com/title/tt1781769/business		12802907	320690	
The Good Earth	tt0028944	http://www.imdb.com/title/tt0028944/business	2800000			6 August 1937
Lonesome Dove	tt0096639	http://www.imdb.com/title/tt0096639/business				
Murder on the Orient Express	tt0071877	http://www.imdb.com/title/tt0071877/business		35733867		24 November 1974
