603,Pinocchio
604,"Dragon Ball, Vol. 1: The Monkey King"
605,Clockers
606,The Chocolate War
607,Looking for Alibrandi
608,Live and Let Die
609,Paper Towns
610,"To Sir, With Love"
611,The Night Listener
612,The 5th Wave
613,The Jungle Book
614,Pygmalion
615,Me Before You
616,Avalon High
617,You Only Live Twice
618,Wanted
619,The Hellbound Heart
620,The Far Pavilions
621,House
622,The Spy Who Loved Me
623,Heart of Darkness
624,The Woman in Black
625,Storm Front
626,The Lord of the Rings
627,Ask the Dust
628,Matchstick Men: A Novel About Grifters with Issues
629,Blood And Gold
630,From Here to Eternity
631,Indiana Jones and the Temple of Doom
632,The Orchid Thief: A True Story of Beauty and Obsession
633,Brideshead Revisited
634,Sideways
635,The Magus
636,Lightning
637,The Rise and Fall of the Third Reich: A History of Nazi Germany
638,The Strange Case of Dr. Jekyll and Mr. Hyde
639,The Brotherhood of the Rose
640,World Without End
641,"Fruits Basket, Vol. 2"
642,A Song of Ice and Fire
643,Angelfall
644,Twenty Thousand Leagues Under the Sea
645,Black Hawk Down
646,The Zahir
647,Day Watch
648,"Tomorrow, When the War Began"
649,David Copperfield
650,A Dance with Dragons
651,The Puppet Masters
652,Paula
653,The Wings of the Dove
654,Map of Bones
655,Love's Abiding Joy
656,Miss Pettigrew Lives for a Day
657,The End of the Affair
658,A Feast for Crows
659,My Friend Flicka
660,Love's Long Journey
661,A Storm of Swords
662,Alien
663,Going Postal
664,Love Comes Softly
665,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam
666,L'Amant
667,The Chosen
668,Rodrick Rules
669,Sandstorm
670,Animal Husbandry
671,Silk
672,Midnight Bayou
673,A Knight in Shining Armor
674,The Wind in the Willows
675,The Descent
676,Choke
677,Indiana Jones and the Kingdom of the Crystal Skull
678,Way of the Peaceful Warrior: A Book That Changes Lives
679,Much Ado About Nothing
680,The Holcroft Covenant
681,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
682,Maniac Magee
683,Where Eagles Dare
684,Underworld: Evolution
685,The Green Berets: The Amazing Story of the U. S. Army's Elite Special Forces Unit
686,The Wanderers
687,Paint it Black
688,"Fruits Basket, Vol. 3"
689,Though None Go with Me
690,Nothing Lasts Forever
691,Inferno
692,Man On Fire
693,Dance Upon the Air
694,"Fruits Basket, Vol. 4"
695,Underworld: Rise of the Lycans
696,Brainwashed
697,Oscar and Lucinda
698,Una palabra tuya
699,Ghost Story
700,The Razor's Edge
701,Rocket Boys
702,"Fruits Basket, Vol. 5"
703,The Last Oracle
704,"Holy Blood, Holy Grail"
705,The Robe
706,Bel-Ami
707,Thumbsucker
708,Freak the Mighty
709,Crazy in Alabama
710,Time Regained
711,Candy Girl: A Year in the Life of an Unlikely Stripper
712,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
713,The Discovery of Heaven
714,"Fruits Basket, Vol. 6"
715,An Inspector Calls
716,Foxfire: Confessions of a Girl Gang
717,The Crow
718,Allegiant
719,Suddenly Last Summer
720,Get Shorty
721,The Odessa File
722,Petals on the Wind
723,"Fruits Basket, Vol. 7"
724,The Girl on the Train
725,Disappearing Acts
726,30 Days of Night: Official Novelization of The Film
727,Legion
728,"That Was Then, This Is Now"
729,"Sarah, Plain and Tall"
730,"Fruits Basket, Vol. 8"
731,Paper Moon
732,Under the Volcano
733,The Lying Game
734,Kick-Ass
735,A Farewell to Arms
736,The Ice Storm
737,Titus Andronicus
738,The Incredible Journey
739,Sounder
740,War and Peace
741,The Redemption of Sarah Cain
742,The Eagle of the Ninth
743,Resident Evil: Extinction
744,"Fruits Basket, Vol. 9"
745,The Ghost
746,The Tin Drum
747,John Adams
748,The Mist
749,The Idiot
750,Crimson Rivers
751,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson"
752,"Romulus, My Father"
753,How to Deal
754,Less Than Zero
755,Falling Angel
756,The Death and Life of Charlie St. Cloud
757,Hulk: The Official Movie Adaptation
758,Forever Amber
759,Poison
760,The Diving Bell and the Butterfly
761,A Streetcar Named Desire
762,Out of Sight
763,The Midwich Cuckoos
764,Gangs of New York: An Informal History of the Underworld
765,The Truth About Forever
766,Here be Dragons
767,Katherine
768,Random Harvest
769,I Am the Cheese
770,Shrek!
771,Emma
772,Princess in Love
773,Love's Enduring Promise
774,We the Living
775,The Man With the Golden Gun
776,The Chronicles of Riddick
777,The End of Eternity
778,Eye of the Needle
779,Before I Go to Sleep
780,The Great Gatsby
781,American Hardcore: A Tribal History
782,"Taking Woodstock: A True Story of a Riot, a Concert, and a Life"
783,Chitty Chitty Bang Bang
784,Aliens vs. Predator: Prey
785,The Scarlet Pimpernel
786,Cold Comfort Farm
787,The Lincoln Lawyer
788,Handle with Care
789,Ironweed
790,Tick Tock
791,Conan the Destroyer
792,Eloise
793,The Water is Wide: A Memoir
794,The Day of the Locust
795,Hangman's Curse
796,The Dive From Clausen's Pier
797,The Caine Mutiny
798,Vanishing Acts
799,Johnny Mnemonic
800,The Guardian
801,Fallen
802,The Brothers Karamazov
803,Starman
804,Rising Sun
805,"Tsubasa: Those with Wings, Volume 1"
806,Mandie and the Cherokee Legend
807,Her Fearful Symmetry
808,Beast
809,The Sound and the Fury
810,Nicholas and Alexandra
811,Mandie and the Secret Tunnel
812,The Man Who Fell to Earth
813,From the Mixed-Up Files of Mrs. Basil E. Frankweiler
814,Jurassic Park III
815,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President"
816,The Old Man and the Sea
817,The Golden Chance
818,Stay Close
819,Treasure Island
820,Odd Thomas
821,Off Season
822,Riding in Cars with Boys: Confessions of a Bad Girl Who Makes Good
823,The Secret Of NIMH
